county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year,county_total,party_perc
Calhoun County,GARY JOHNSON (LIB),13,0,3,0,16,"November 8, 2016",2016,2025,0.7901234567901235
Camden County,DONALD J. TRUMP (REP),4876,608,6813,13,12310,"November 8, 2016",2016,18869,65.23928136096242
Camden County,HILLARY CLINTON (DEM),2092,466,3364,8,5930,"November 8, 2016",2016,18869,31.427208649107
Camden County,GARY JOHNSON (LIB),331,48,250,0,629,"November 8, 2016",2016,18869,3.3335099899305742
Candler County,DONALD J. TRUMP (REP),567,86,2008,3,2664,"November 8, 2016",2016,3763,70.79457879351581
Candler County,HILLARY CLINTON (DEM),380,46,597,3,1026,"November 8, 2016",2016,3763,27.265479670475685
Candler County,GARY JOHNSON (LIB),35,5,33,0,73,"November 8, 2016",2016,3763,1.9399415360085037
Carroll County,DONALD J. TRUMP (REP),13018,901,16070,40,30029,"November 8, 2016",2016,43839,68.49836903214033
Carroll County,HILLARY CLINTON (DEM),4983,543,6898,40,12464,"November 8, 2016",2016,43839,28.431305458609913
Carroll County,GARY JOHNSON (LIB),741,35,563,7,1346,"November 8, 2016",2016,43839,3.070325509249755
Catoosa County,DONALD J. TRUMP (REP),6827,460,13573,16,20876,"November 8, 2016",2016,26528,78.69420989143546
Catoosa County,HILLARY CLINTON (DEM),1650,182,2937,2,4771,"November 8, 2016",2016,26528,17.984770808202654
Catoosa County,GARY JOHNSON (LIB),461,32,388,0,881,"November 8, 2016",2016,26528,3.3210193003618818
Charlton County,DONALD J. TRUMP (REP),1220,158,1567,6,2951,"November 8, 2016",2016,4009,73.60937889748067
Charlton County,HILLARY CLINTON (DEM),434,55,513,2,1004,"November 8, 2016",2016,4009,25.043651783487153
Charlton County,GARY JOHNSON (LIB),24,7,23,0,54,"November 8, 2016",2016,4009,1.3469693190321774
Chatham County,DONALD J. TRUMP (REP),30267,1915,13462,44,45688,"November 8, 2016",2016,111481,40.982768364115856
Chatham County,HILLARY CLINTON (DEM),37801,3116,21310,63,62290,"November 8, 2016",2016,111481,55.874992151128886
Chatham County,GARY JOHNSON (LIB),2704,125,669,5,3503,"November 8, 2016",2016,111481,3.14223948475525
