,county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year
65,Carroll County,GARY JOHNSON (LIB),741,35,563,7,"1,346","November 8, 2016",2016
66,Catoosa County,DONALD J. TRUMP (REP),"6,827",460,"13,573",16,"20,876","November 8, 2016",2016
67,Catoosa County,HILLARY CLINTON (DEM),"1,650",182,"2,937",2,"4,771","November 8, 2016",2016
68,Catoosa County,GARY JOHNSON (LIB),461,32,388,0,881,"November 8, 2016",2016
69,Charlton County,DONALD J. TRUMP (REP),"1,220",158,"1,567",6,"2,951","November 8, 2016",2016
70,Charlton County,HILLARY CLINTON (DEM),434,55,513,2,"1,004","November 8, 2016",2016
71,Charlton County,GARY JOHNSON (LIB),24,7,23,0,54,"November 8, 2016",2016
72,Chatham County,DONALD J. TRUMP (REP),"30,267","1,915","13,462",44,"45,688","November 8, 2016",2016
73,Chatham County,HILLARY CLINTON (DEM),"37,801","3,116","21,310",63,"62,290","November 8, 2016",2016
74,Chatham County,GARY JOHNSON (LIB),"2,704",125,669,5,"3,503","November 8, 2016",2016
75,Chattahoochee County,DONALD J. TRUMP (REP),420,34,292,5,751,"November 8, 2016",2016
76,Chattahoochee County,HILLARY CLINTON (DEM),280,29,284,1,594,"November 8, 2016",2016
77,Chattahoochee County,GARY JOHNSON (LIB),27,2,16,0,45,"November 8, 2016",2016
78,Chattooga County,DONALD J. TRUMP (REP),"3,034",144,"3,279",5,"6,462","November 8, 2016",2016
79,Chattooga County,HILLARY CLINTON (DEM),703,82,827,1,"1,613","November 8, 2016",2016
80,Chattooga County,GARY JOHNSON (LIB),102,6,69,0,177,"November 8, 2016",2016
81,Cherokee County,DONALD J. TRUMP (REP),"31,540","3,546","45,545",18,"80,649","November 8, 2016",2016
82,Cherokee County,HILLARY CLINTON (DEM),"10,241","1,574","13,410",6,"25,231","November 8, 2016",2016
83,Cherokee County,GARY JOHNSON (LIB),"2,772",245,"1,996",2,"5,015","November 8, 2016",2016
84,Clarke County,DONALD J. TRUMP (REP),"5,678",939,"6,079",21,"12,717","November 8, 2016",2016
85,Clarke County,HILLARY CLINTON (DEM),"11,898","1,648","15,991",66,"29,603","November 8, 2016",2016
86,Clarke County,GARY JOHNSON (LIB),"1,110",74,832,3,"2,019","November 8, 2016",2016
87,Clay County,DONALD J. TRUMP (REP),162,36,366,2,566,"November 8, 2016",2016
88,Clay County,HILLARY CLINTON (DEM),366,69,261,1,697,"November 8, 2016",2016
89,Clay County,GARY JOHNSON (LIB),6,0,2,0,8,"November 8, 2016",2016
90,Clayton County,DONALD J. TRUMP (REP),"4,119",889,"7,621",16,"12,645","November 8, 2016",2016
91,Clayton County,HILLARY CLINTON (DEM),"28,567","2,179","47,341",133,"78,220","November 8, 2016",2016
92,Clayton County,GARY JOHNSON (LIB),794,54,794,5,"1,647","November 8, 2016",2016
93,Clinch County,DONALD J. TRUMP (REP),680,56,988,3,"1,727","November 8, 2016",2016
94,Clinch County,HILLARY CLINTON (DEM),332,30,323,1,686,"November 8, 2016",2016
95,Clinch County,GARY JOHNSON (LIB),16,3,15,0,34,"November 8, 2016",2016
96,Cobb County,DONALD J. TRUMP (REP),"79,118","12,461","61,089",244,"152,912","November 8, 2016",2016
97,Cobb County,HILLARY CLINTON (DEM),"75,036","10,124","74,472",489,"160,121","November 8, 2016",2016
98,Cobb County,GARY JOHNSON (LIB),"9,802",934,"3,693",37,"14,466","November 8, 2016",2016
99,Coffee County,DONALD J. TRUMP (REP),"3,051",295,"6,242",0,"9,588","November 8, 2016",2016
100,Coffee County,HILLARY CLINTON (DEM),"1,642",168,"2,284",0,"4,094","November 8, 2016",2016
101,Coffee County,GARY JOHNSON (LIB),90,17,126,0,233,"November 8, 2016",2016
102,Colquitt County,DONALD J. TRUMP (REP),"4,968",260,"4,667",3,"9,898","November 8, 2016",2016
103,Colquitt County,HILLARY CLINTON (DEM),"1,724",176,"1,561",2,"3,463","November 8, 2016",2016
104,Colquitt County,GARY JOHNSON (LIB),127,12,101,0,240,"November 8, 2016",2016
105,Columbia County,DONALD J. TRUMP (REP),"17,194","1,802","24,070",19,"43,085","November 8, 2016",2016
106,Columbia County,HILLARY CLINTON (DEM),"7,328","1,271","10,279",9,"18,887","November 8, 2016",2016
107,Columbia County,GARY JOHNSON (LIB),"1,285",132,852,1,"2,270","November 8, 2016",2016
108,Cook County,DONALD J. TRUMP (REP),"1,594",149,"2,433",0,"4,176","November 8, 2016",2016
109,Cook County,HILLARY CLINTON (DEM),910,68,775,0,"1,753","November 8, 2016",2016
110,Cook County,GARY JOHNSON (LIB),46,6,60,0,112,"November 8, 2016",2016
111,Coweta County,DONALD J. TRUMP (REP),"18,778","1,892","21,851",12,"42,533","November 8, 2016",2016
112,Coweta County,HILLARY CLINTON (DEM),"7,282",883,"8,411",7,"16,583","November 8, 2016",2016
113,Coweta County,GARY JOHNSON (LIB),"1,257",117,858,3,"2,235","November 8, 2016",2016
114,Crawford County,DONALD J. TRUMP (REP),"1,615",153,"1,864",3,"3,635","November 8, 2016",2016
115,Crawford County,HILLARY CLINTON (DEM),598,95,726,2,"1,421","November 8, 2016",2016
116,Crawford County,GARY JOHNSON (LIB),54,4,48,0,106,"November 8, 2016",2016
117,Crisp County,DONALD J. TRUMP (REP),"1,354",205,"2,981",9,"4,549","November 8, 2016",2016
118,Crisp County,HILLARY CLINTON (DEM),"1,017",134,"1,684",2,"2,837","November 8, 2016",2016
119,Crisp County,GARY JOHNSON (LIB),52,10,64,0,126,"November 8, 2016",2016
120,Dade County,DONALD J. TRUMP (REP),"2,547",115,"2,385",4,"5,051","November 8, 2016",2016
121,Dade County,HILLARY CLINTON (DEM),434,54,477,0,965,"November 8, 2016",2016
122,Dade County,GARY JOHNSON (LIB),145,7,74,0,226,"November 8, 2016",2016
123,Dawson County,DONALD J. TRUMP (REP),"2,423",422,"7,039",16,"9,900","November 8, 2016",2016
124,Dawson County,HILLARY CLINTON (DEM),379,107,958,4,"1,448","November 8, 2016",2016
125,Dawson County,GARY JOHNSON (LIB),157,14,185,0,356,"November 8, 2016",2016
126,Decatur County,DONALD J. TRUMP (REP),"2,242",284,"3,483",11,"6,020","November 8, 2016",2016
127,Decatur County,HILLARY CLINTON (DEM),"1,798",240,"2,066",20,"4,124","November 8, 2016",2016
128,Decatur County,GARY JOHNSON (LIB),64,8,53,1,126,"November 8, 2016",2016
129,DeKalb County,DONALD J. TRUMP (REP),"22,867","3,886","24,669",46,"51,468","November 8, 2016",2016
130,DeKalb County,HILLARY CLINTON (DEM),"90,473","11,786","148,684",427,"251,370","November 8, 2016",2016
131,DeKalb County,GARY JOHNSON (LIB),"5,335",438,"3,875",18,"9,666","November 8, 2016",2016
132,Dodge County,DONALD J. TRUMP (REP),"2,732",235,"2,054",0,"5,021","November 8, 2016",2016
133,Dodge County,HILLARY CLINTON (DEM),940,97,800,2,"1,839","November 8, 2016",2016
134,Dodge County,GARY JOHNSON (LIB),74,9,55,0,138,"November 8, 2016",2016
135,Dooly County,DONALD J. TRUMP (REP),815,68,"1,059",9,"1,951","November 8, 2016",2016
136,Dooly County,HILLARY CLINTON (DEM),"1,026",109,728,9,"1,872","November 8, 2016",2016
