,county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year
279,Macon County,DONALD J. TRUMP (REP),493,68,979,0,"1,540","November 8, 2016",2016
280,Macon County,HILLARY CLINTON (DEM),"1,295",177,"1,233",0,"2,705","November 8, 2016",2016
281,Macon County,GARY JOHNSON (LIB),24,4,14,0,42,"November 8, 2016",2016
282,Madison County,DONALD J. TRUMP (REP),"4,018",371,"4,806",6,"9,201","November 8, 2016",2016
283,Madison County,HILLARY CLINTON (DEM),"1,054",127,"1,244",0,"2,425","November 8, 2016",2016
284,Madison County,GARY JOHNSON (LIB),187,17,123,1,328,"November 8, 2016",2016
285,Marion County,DONALD J. TRUMP (REP),"1,089",75,757,0,"1,921","November 8, 2016",2016
286,Marion County,HILLARY CLINTON (DEM),496,188,529,0,"1,213","November 8, 2016",2016
287,Marion County,GARY JOHNSON (LIB),22,3,24,0,49,"November 8, 2016",2016
288,McDuffie County,DONALD J. TRUMP (REP),"1,886",273,"3,273",0,"5,432","November 8, 2016",2016
289,McDuffie County,HILLARY CLINTON (DEM),"1,411",290,"1,998",0,"3,699","November 8, 2016",2016
290,McDuffie County,GARY JOHNSON (LIB),55,13,69,0,137,"November 8, 2016",2016
291,McIntosh County,DONALD J. TRUMP (REP),"1,254",375,"1,853",5,"3,487","November 8, 2016",2016
292,McIntosh County,HILLARY CLINTON (DEM),956,228,"1,114",5,"2,303","November 8, 2016",2016
293,McIntosh County,GARY JOHNSON (LIB),57,12,44,0,113,"November 8, 2016",2016
294,Meriwether County,DONALD J. TRUMP (REP),"2,967",200,"2,052",3,"5,222","November 8, 2016",2016
295,Meriwether County,HILLARY CLINTON (DEM),"2,275",199,"1,327",3,"3,804","November 8, 2016",2016
296,Meriwether County,GARY JOHNSON (LIB),104,8,53,0,165,"November 8, 2016",2016
297,Miller County,DONALD J. TRUMP (REP),768,105,"1,015",3,"1,891","November 8, 2016",2016
298,Miller County,HILLARY CLINTON (DEM),359,47,216,1,623,"November 8, 2016",2016
299,Miller County,GARY JOHNSON (LIB),19,3,8,0,30,"November 8, 2016",2016
300,Mitchell County,DONALD J. TRUMP (REP),"2,038",193,"2,041",7,"4,279","November 8, 2016",2016
301,Mitchell County,HILLARY CLINTON (DEM),"1,461",378,"1,653",1,"3,493","November 8, 2016",2016
302,Mitchell County,GARY JOHNSON (LIB),53,7,33,0,93,"November 8, 2016",2016
303,Monroe County,DONALD J. TRUMP (REP),"4,103",303,"4,417",9,"8,832","November 8, 2016",2016
304,Monroe County,HILLARY CLINTON (DEM),"1,419",249,"1,902",1,"3,571","November 8, 2016",2016
305,Monroe County,GARY JOHNSON (LIB),171,11,102,0,284,"November 8, 2016",2016
306,Montgomery County,DONALD J. TRUMP (REP),"1,592",83,995,0,"2,670","November 8, 2016",2016
307,Montgomery County,HILLARY CLINTON (DEM),520,43,284,0,847,"November 8, 2016",2016
308,Montgomery County,GARY JOHNSON (LIB),27,2,16,0,45,"November 8, 2016",2016
309,Morgan County,DONALD J. TRUMP (REP),"2,449",220,"3,888",2,"6,559","November 8, 2016",2016
310,Morgan County,HILLARY CLINTON (DEM),958,161,"1,541",3,"2,663","November 8, 2016",2016
311,Morgan County,GARY JOHNSON (LIB),104,11,103,0,218,"November 8, 2016",2016
312,Murray County,DONALD J. TRUMP (REP),"5,212",258,"4,871",0,"10,341","November 8, 2016",2016
313,Murray County,HILLARY CLINTON (DEM),938,96,766,0,"1,800","November 8, 2016",2016
314,Murray County,GARY JOHNSON (LIB),180,16,87,0,283,"November 8, 2016",2016
315,Muscogee County,DONALD J. TRUMP (REP),"13,014","1,639","12,299",24,"26,976","November 8, 2016",2016
316,Muscogee County,HILLARY CLINTON (DEM),"16,828","2,174","20,755",94,"39,851","November 8, 2016",2016
317,Muscogee County,GARY JOHNSON (LIB),"1,057",109,661,4,"1,831","November 8, 2016",2016
318,Newton County,DONALD J. TRUMP (REP),"10,445",981,"9,485",2,"20,913","November 8, 2016",2016
319,Newton County,HILLARY CLINTON (DEM),"8,927",980,"12,035",1,"21,943","November 8, 2016",2016
320,Newton County,GARY JOHNSON (LIB),590,45,311,1,947,"November 8, 2016",2016
321,Oconee County,DONALD J. TRUMP (REP),"5,105",535,"7,780",5,"13,425","November 8, 2016",2016
322,Oconee County,HILLARY CLINTON (DEM),"1,904",326,"3,349",2,"5,581","November 8, 2016",2016
323,Oconee County,GARY JOHNSON (LIB),480,32,412,1,925,"November 8, 2016",2016
324,Oglethorpe County,DONALD J. TRUMP (REP),"1,521",280,"2,823",1,"4,625","November 8, 2016",2016
325,Oglethorpe County,HILLARY CLINTON (DEM),707,81,"1,042",1,"1,831","November 8, 2016",2016
326,Oglethorpe County,GARY JOHNSON (LIB),103,11,85,0,199,"November 8, 2016",2016
327,Paulding County,DONALD J. TRUMP (REP),"12,163","2,136","30,350",13,"44,662","November 8, 2016",2016
328,Paulding County,HILLARY CLINTON (DEM),"5,688",889,"11,437",11,"18,025","November 8, 2016",2016
329,Paulding County,GARY JOHNSON (LIB),890,88,974,2,"1,954","November 8, 2016",2016
330,Peach County,DONALD J. TRUMP (REP),"1,481",169,"3,755",8,"5,413","November 8, 2016",2016
331,Peach County,HILLARY CLINTON (DEM),"1,669",186,"3,228",17,"5,100","November 8, 2016",2016
332,Peach County,GARY JOHNSON (LIB),98,8,105,0,211,"November 8, 2016",2016
333,Pickens County,DONALD J. TRUMP (REP),"4,425",203,"7,022",1,"11,651","November 8, 2016",2016
334,Pickens County,HILLARY CLINTON (DEM),670,70,"1,237",2,"1,979","November 8, 2016",2016
335,Pickens County,GARY JOHNSON (LIB),185,10,159,0,354,"November 8, 2016",2016
336,Pierce County,DONALD J. TRUMP (REP),"1,732",277,"4,292",1,"6,302","November 8, 2016",2016
337,Pierce County,HILLARY CLINTON (DEM),270,65,568,0,903,"November 8, 2016",2016
338,Pierce County,GARY JOHNSON (LIB),37,8,48,0,93,"November 8, 2016",2016
339,Pike County,DONALD J. TRUMP (REP),"2,649",280,"4,344",5,"7,278","November 8, 2016",2016
340,Pike County,HILLARY CLINTON (DEM),471,77,691,1,"1,240","November 8, 2016",2016
341,Pike County,GARY JOHNSON (LIB),84,10,69,0,163,"November 8, 2016",2016
342,Polk County,DONALD J. TRUMP (REP),"3,373",345,"7,291",5,"11,014","November 8, 2016",2016
343,Polk County,HILLARY CLINTON (DEM),964,113,"1,788",2,"2,867","November 8, 2016",2016
344,Polk County,GARY JOHNSON (LIB),137,18,134,0,289,"November 8, 2016",2016
345,Pulaski County,DONALD J. TRUMP (REP),535,106,"1,795",1,"2,437","November 8, 2016",2016
346,Pulaski County,HILLARY CLINTON (DEM),342,96,666,0,"1,104","November 8, 2016",2016
347,Pulaski County,GARY JOHNSON (LIB),15,3,40,0,58,"November 8, 2016",2016
348,Putnam County,DONALD J. TRUMP (REP),"2,306",358,"3,876",4,"6,544","November 8, 2016",2016
349,Putnam County,HILLARY CLINTON (DEM),"1,077",244,"1,435",2,"2,758","November 8, 2016",2016
350,Putnam County,GARY JOHNSON (LIB),91,10,69,0,170,"November 8, 2016",2016
351,Quitman County,DONALD J. TRUMP (REP),235,36,304,0,575,"November 8, 2016",2016
352,Quitman County,HILLARY CLINTON (DEM),246,18,197,0,461,"November 8, 2016",2016
353,Quitman County,GARY JOHNSON (LIB),3,0,5,0,8,"November 8, 2016",2016
354,Rabun County,DONALD J. TRUMP (REP),"1,097",657,"4,533",0,"6,287","November 8, 2016",2016
355,Rabun County,HILLARY CLINTON (DEM),221,216,"1,007",0,"1,444","November 8, 2016",2016
356,Rabun County,GARY JOHNSON (LIB),64,23,132,0,219,"November 8, 2016",2016
357,Randolph County,DONALD J. TRUMP (REP),655,34,581,1,"1,271","November 8, 2016",2016
358,Randolph County,HILLARY CLINTON (DEM),760,152,685,1,"1,598","November 8, 2016",2016
359,Randolph County,GARY JOHNSON (LIB),17,3,8,0,28,"November 8, 2016",2016
360,Richmond County,DONALD J. TRUMP (REP),"12,183","1,556","10,707",15,"24,461","November 8, 2016",2016
361,Richmond County,HILLARY CLINTON (DEM),"21,676","2,804","24,246",88,"48,814","November 8, 2016",2016
362,Richmond County,GARY JOHNSON (LIB),"1,099",105,603,4,"1,811","November 8, 2016",2016
363,Rockdale County,DONALD J. TRUMP (REP),"3,724",615,"9,132",7,"13,478","November 8, 2016",2016
364,Rockdale County,HILLARY CLINTON (DEM),"6,190",780,"16,260",25,"23,255","November 8, 2016",2016
365,Rockdale County,GARY JOHNSON (LIB),396,41,485,1,923,"November 8, 2016",2016
366,Schley County,DONALD J. TRUMP (REP),422,49,"1,001",0,"1,472","November 8, 2016",2016
367,Schley County,HILLARY CLINTON (DEM),146,35,220,0,401,"November 8, 2016",2016
368,Schley County,GARY JOHNSON (LIB),20,3,13,0,36,"November 8, 2016",2016
369,Screven County,DONALD J. TRUMP (REP),"1,473",88,"1,744",0,"3,305","November 8, 2016",2016
370,Screven County,HILLARY CLINTON (DEM),"1,245",87,968,0,"2,300","November 8, 2016",2016
371,Screven County,GARY JOHNSON (LIB),41,7,46,0,94,"November 8, 2016",2016
372,Seminole County,DONALD J. TRUMP (REP),"1,267",114,962,2,"2,345","November 8, 2016",2016
373,Seminole County,HILLARY CLINTON (DEM),682,54,450,3,"1,189","November 8, 2016",2016
374,Seminole County,GARY JOHNSON (LIB),35,3,10,0,48,"November 8, 2016",2016
375,Spalding County,DONALD J. TRUMP (REP),"5,461",614,"9,562",9,"15,646","November 8, 2016",2016
376,Spalding County,HILLARY CLINTON (DEM),"3,756",417,"5,176",8,"9,357","November 8, 2016",2016
377,Spalding County,GARY JOHNSON (LIB),301,27,269,0,597,"November 8, 2016",2016
378,Stephens County,DONALD J. TRUMP (REP),"1,470",465,"5,748",3,"7,686","November 8, 2016",2016
379,Stephens County,HILLARY CLINTON (DEM),447,151,"1,239",0,"1,837","November 8, 2016",2016
380,Stephens County,GARY JOHNSON (LIB),86,14,143,0,243,"November 8, 2016",2016
381,Stewart County,DONALD J. TRUMP (REP),343,127,332,3,805,"November 8, 2016",2016
382,Stewart County,HILLARY CLINTON (DEM),587,221,412,2,"1,222","November 8, 2016",2016
383,Stewart County,GARY JOHNSON (LIB),9,7,12,0,28,"November 8, 2016",2016
384,Sumter County,DONALD J. TRUMP (REP),"2,348",265,"2,662",1,"5,276","November 8, 2016",2016
385,Sumter County,HILLARY CLINTON (DEM),"2,127",450,"2,943",0,"5,520","November 8, 2016",2016
386,Sumter County,GARY JOHNSON (LIB),96,10,72,0,178,"November 8, 2016",2016
387,Talbot County,DONALD J. TRUMP (REP),746,100,350,0,"1,196","November 8, 2016",2016
388,Talbot County,HILLARY CLINTON (DEM),"1,089",448,465,0,"2,002","November 8, 2016",2016
389,Talbot County,GARY JOHNSON (LIB),25,11,10,0,46,"November 8, 2016",2016
390,Taliaferro County,DONALD J. TRUMP (REP),166,18,165,0,349,"November 8, 2016",2016
391,Taliaferro County,HILLARY CLINTON (DEM),220,89,235,1,545,"November 8, 2016",2016
392,Taliaferro County,GARY JOHNSON (LIB),0,0,3,0,3,"November 8, 2016",2016
393,Tattnall County,DONALD J. TRUMP (REP),"1,946",423,"2,724",3,"5,096","November 8, 2016",2016
394,Tattnall County,HILLARY CLINTON (DEM),678,126,874,3,"1,681","November 8, 2016",2016
395,Tattnall County,GARY JOHNSON (LIB),46,16,47,0,109,"November 8, 2016",2016
396,Taylor County,DONALD J. TRUMP (REP),677,119,"1,268",0,"2,064","November 8, 2016",2016
397,Taylor County,HILLARY CLINTON (DEM),655,176,465,0,"1,296","November 8, 2016",2016
398,Taylor County,GARY JOHNSON (LIB),18,4,23,0,45,"November 8, 2016",2016
399,Telfair County,DONALD J. TRUMP (REP),"1,303",109,"1,037",1,"2,450","November 8, 2016",2016
400,Telfair County,HILLARY CLINTON (DEM),657,225,431,0,"1,313","November 8, 2016",2016
401,Telfair County,GARY JOHNSON (LIB),20,3,9,0,32,"November 8, 2016",2016
402,Terrell County,DONALD J. TRUMP (REP),870,96,906,2,"1,874","November 8, 2016",2016
403,Terrell County,HILLARY CLINTON (DEM),"1,093",164,"1,010",0,"2,267","November 8, 2016",2016
404,Terrell County,GARY JOHNSON (LIB),28,2,10,0,40,"November 8, 2016",2016
405,Thomas County,DONALD J. TRUMP (REP),"4,302",428,"6,495",3,"11,228","November 8, 2016",2016
406,Thomas County,HILLARY CLINTON (DEM),"2,823",406,"3,912",1,"7,142","November 8, 2016",2016
407,Thomas County,GARY JOHNSON (LIB),167,23,177,1,368,"November 8, 2016",2016
408,Tift County,DONALD J. TRUMP (REP),"3,634",344,"5,597",9,"9,584","November 8, 2016",2016
409,Tift County,HILLARY CLINTON (DEM),"1,735",198,"2,408",6,"4,347","November 8, 2016",2016
410,Tift County,GARY JOHNSON (LIB),131,11,102,0,244,"November 8, 2016",2016
411,Toombs County,DONALD J. TRUMP (REP),"2,540",342,"3,731",2,"6,615","November 8, 2016",2016
412,Toombs County,HILLARY CLINTON (DEM),"1,071",256,"1,011",0,"2,338","November 8, 2016",2016
413,Toombs County,GARY JOHNSON (LIB),87,17,54,0,158,"November 8, 2016",2016
414,Towns County,DONALD J. TRUMP (REP),"1,448",309,"3,620",6,"5,383","November 8, 2016",2016
415,Towns County,HILLARY CLINTON (DEM),307,91,808,4,"1,210","November 8, 2016",2016
416,Towns County,GARY JOHNSON (LIB),58,10,76,2,146,"November 8, 2016",2016
417,Treutlen County,DONALD J. TRUMP (REP),611,107,"1,090",1,"1,809","November 8, 2016",2016
418,Treutlen County,HILLARY CLINTON (DEM),296,59,505,2,862,"November 8, 2016",2016
419,Treutlen County,GARY JOHNSON (LIB),16,2,14,0,32,"November 8, 2016",2016
420,Troup County,DONALD J. TRUMP (REP),"6,782",692,"8,169",107,"15,750","November 8, 2016",2016
421,Troup County,HILLARY CLINTON (DEM),"4,768",534,"4,295",116,"9,713","November 8, 2016",2016
422,Troup County,GARY JOHNSON (LIB),305,33,215,8,561,"November 8, 2016",2016
423,Turner County,DONALD J. TRUMP (REP),609,55,"1,430",1,"2,095","November 8, 2016",2016
424,Turner County,HILLARY CLINTON (DEM),569,30,644,3,"1,246","November 8, 2016",2016
425,Turner County,GARY JOHNSON (LIB),17,2,34,0,53,"November 8, 2016",2016
426,Twiggs County,DONALD J. TRUMP (REP),"1,154",87,793,1,"2,035","November 8, 2016",2016
427,Twiggs County,HILLARY CLINTON (DEM),960,240,771,0,"1,971","November 8, 2016",2016
428,Twiggs County,GARY JOHNSON (LIB),32,4,14,0,50,"November 8, 2016",2016
429,Union County,DONALD J. TRUMP (REP),"3,341",449,"6,059",3,"9,852","November 8, 2016",2016
430,Union County,HILLARY CLINTON (DEM),537,172,"1,253",1,"1,963","November 8, 2016",2016
431,Union County,GARY JOHNSON (LIB),98,14,116,1,229,"November 8, 2016",2016
432,Upson County,DONALD J. TRUMP (REP),"1,719",308,"5,261",4,"7,292","November 8, 2016",2016
433,Upson County,HILLARY CLINTON (DEM),"1,246",147,"2,079",3,"3,475","November 8, 2016",2016
434,Upson County,GARY JOHNSON (LIB),71,10,86,0,167,"November 8, 2016",2016
435,Walker County,DONALD J. TRUMP (REP),"7,302",681,"10,960",7,"18,950","November 8, 2016",2016
436,Walker County,HILLARY CLINTON (DEM),"1,651",274,"2,288",2,"4,215","November 8, 2016",2016
437,Walker County,GARY JOHNSON (LIB),409,36,343,3,791,"November 8, 2016",2016
438,Walton County,DONALD J. TRUMP (REP),"15,918","1,228","13,955",24,"31,125","November 8, 2016",2016
439,Walton County,HILLARY CLINTON (DEM),"4,122",447,"3,712",11,"8,292","November 8, 2016",2016
440,Walton County,GARY JOHNSON (LIB),644,62,347,2,"1,055","November 8, 2016",2016
441,Ware County,DONALD J. TRUMP (REP),"3,671",358,"4,479",5,"8,513","November 8, 2016",2016
442,Ware County,HILLARY CLINTON (DEM),"1,047",219,"2,170",4,"3,440","November 8, 2016",2016
443,Ware County,GARY JOHNSON (LIB),110,13,83,0,206,"November 8, 2016",2016
444,Warren County,DONALD J. TRUMP (REP),303,75,613,0,991,"November 8, 2016",2016
445,Warren County,HILLARY CLINTON (DEM),654,62,597,1,"1,314","November 8, 2016",2016
446,Warren County,GARY JOHNSON (LIB),10,2,16,0,28,"November 8, 2016",2016
447,Washington County,DONALD J. TRUMP (REP),"1,779",256,"2,103",11,"4,149","November 8, 2016",2016
448,Washington County,HILLARY CLINTON (DEM),"1,824",444,"1,919",13,"4,200","November 8, 2016",2016
449,Washington County,GARY JOHNSON (LIB),43,12,42,1,98,"November 8, 2016",2016
450,Wayne County,DONALD J. TRUMP (REP),"3,408",310,"4,429",6,"8,153","November 8, 2016",2016
451,Wayne County,HILLARY CLINTON (DEM),809,85,"1,145",2,"2,041","November 8, 2016",2016
452,Wayne County,GARY JOHNSON (LIB),107,8,75,2,192,"November 8, 2016",2016
453,Webster County,DONALD J. TRUMP (REP),241,66,323,0,630,"November 8, 2016",2016
454,Webster County,HILLARY CLINTON (DEM),241,61,169,2,473,"November 8, 2016",2016
455,Webster County,GARY JOHNSON (LIB),6,0,7,0,13,"November 8, 2016",2016
456,Wheeler County,DONALD J. TRUMP (REP),669,94,655,3,"1,421","November 8, 2016",2016
457,Wheeler County,HILLARY CLINTON (DEM),295,68,283,0,646,"November 8, 2016",2016
458,Wheeler County,GARY JOHNSON (LIB),12,3,19,1,35,"November 8, 2016",2016
459,White County,DONALD J. TRUMP (REP),"4,042",482,"5,227",10,"9,761","November 8, 2016",2016
460,White County,HILLARY CLINTON (DEM),588,120,964,2,"1,674","November 8, 2016",2016
461,White County,GARY JOHNSON (LIB),191,14,143,0,348,"November 8, 2016",2016
462,Whitfield County,DONALD J. TRUMP (REP),"11,057",751,"9,708",21,"21,537","November 8, 2016",2016
463,Whitfield County,HILLARY CLINTON (DEM),"4,220",385,"3,321",11,"7,937","November 8, 2016",2016
464,Whitfield County,GARY JOHNSON (LIB),602,40,281,1,924,"November 8, 2016",2016
465,Wilcox County,DONALD J. TRUMP (REP),993,164,939,0,"2,096","November 8, 2016",2016
466,Wilcox County,HILLARY CLINTON (DEM),573,46,233,0,852,"November 8, 2016",2016
467,Wilcox County,GARY JOHNSON (LIB),15,3,7,0,25,"November 8, 2016",2016
468,Wilkes County,DONALD J. TRUMP (REP),"1,161",88,"1,320",3,"2,572","November 8, 2016",2016
469,Wilkes County,HILLARY CLINTON (DEM),961,95,788,4,"1,848","November 8, 2016",2016
470,Wilkes County,GARY JOHNSON (LIB),34,1,22,0,57,"November 8, 2016",2016
471,Wilkinson County,DONALD J. TRUMP (REP),"1,490",81,761,1,"2,333","November 8, 2016",2016
472,Wilkinson County,HILLARY CLINTON (DEM),"1,005",124,763,2,"1,894","November 8, 2016",2016
473,Wilkinson County,GARY JOHNSON (LIB),35,3,13,0,51,"November 8, 2016",2016
474,Worth County,DONALD J. TRUMP (REP),"3,401",166,"2,578",7,"6,152","November 8, 2016",2016
475,Worth County,HILLARY CLINTON (DEM),"1,001",99,916,4,"2,020","November 8, 2016",2016
476,Worth County,GARY JOHNSON (LIB),54,11,42,1,108,"November 8, 2016",2016
477,Appling County,Donald J. Trump (I) (Rep),"1,753",890,"3,874",9,"6,526","November 3, 2020",2020
478,Appling County,Joseph R. Biden (Dem),334,587,855,3,"1,779","November 3, 2020",2020
479,Appling County,Jo Jorgensen (Lib),5,5,26,0,36,"November 3, 2020",2020
480,Atkinson County,Donald J. Trump (I) (Rep),716,164,"1,419",1,"2,300","November 3, 2020",2020
481,Atkinson County,Joseph R. Biden (Dem),250,130,445,0,825,"November 3, 2020",2020
482,Atkinson County,Jo Jorgensen (Lib),14,3,13,0,30,"November 3, 2020",2020
483,Bacon County,Donald J. Trump (I) (Rep),431,487,"3,099",1,"4,018","November 3, 2020",2020
484,Bacon County,Joseph R. Biden (Dem),140,196,288,1,625,"November 3, 2020",2020
485,Bacon County,Jo Jorgensen (Lib),8,4,13,0,25,"November 3, 2020",2020
486,Baker County,Donald J. Trump (I) (Rep),291,138,466,2,897,"November 3, 2020",2020
487,Baker County,Joseph R. Biden (Dem),149,234,269,0,652,"November 3, 2020",2020
488,Baker County,Jo Jorgensen (Lib),2,2,2,0,6,"November 3, 2020",2020
489,Baldwin County,Donald J. Trump (I) (Rep),"1,873","1,290","5,736",4,"8,903","November 3, 2020",2020
490,Baldwin County,Joseph R. Biden (Dem),"1,527","3,000","4,612",1,"9,140","November 3, 2020",2020
491,Baldwin County,Jo Jorgensen (Lib),63,38,107,0,208,"November 3, 2020",2020
492,Banks County,Donald J. Trump (I) (Rep),"1,644","1,025","5,116",10,"7,795","November 3, 2020",2020
493,Banks County,Joseph R. Biden (Dem),150,344,435,3,932,"November 3, 2020",2020
494,Banks County,Jo Jorgensen (Lib),20,9,45,0,74,"November 3, 2020",2020
495,Barrow County,Donald J. Trump (I) (Rep),"5,885","4,134","16,782",3,"26,804","November 3, 2020",2020
496,Barrow County,Joseph R. Biden (Dem),"1,717","3,583","5,150",3,"10,453","November 3, 2020",2020
497,Barrow County,Jo Jorgensen (Lib),226,131,307,0,664,"November 3, 2020",2020
498,Bartow County,Donald J. Trump (I) (Rep),"10,179","5,976","21,499",20,"37,674","November 3, 2020",2020
499,Bartow County,Joseph R. Biden (Dem),"2,175","4,486","5,423",8,"12,092","November 3, 2020",2020
500,Bartow County,Jo Jorgensen (Lib),276,148,275,2,701,"November 3, 2020",2020
501,Ben Hill County,Donald J. Trump (I) (Rep),441,528,"3,140",1,"4,110","November 3, 2020",2020
502,Ben Hill County,Joseph R. Biden (Dem),336,714,"1,342",0,"2,392","November 3, 2020",2020
503,Ben Hill County,Jo Jorgensen (Lib),18,8,32,0,58,"November 3, 2020",2020
504,Berrien County,Donald J. Trump (I) (Rep),"1,835",749,"3,825",10,"6,419","November 3, 2020",2020
505,Berrien County,Joseph R. Biden (Dem),333,367,568,1,"1,269","November 3, 2020",2020
506,Berrien County,Jo Jorgensen (Lib),21,9,25,0,55,"November 3, 2020",2020
507,Bibb County,Donald J. Trump (I) (Rep),"7,922","5,375","13,234",54,"26,585","November 3, 2020",2020
508,Bibb County,Joseph R. Biden (Dem),"8,704","14,264","20,384",116,"43,468","November 3, 2020",2020
509,Bibb County,Jo Jorgensen (Lib),299,174,273,3,749,"November 3, 2020",2020
510,Bleckley County,Donald J. Trump (I) (Rep),942,614,"2,770",2,"4,328","November 3, 2020",2020
511,Bleckley County,Joseph R. Biden (Dem),295,428,588,0,"1,311","November 3, 2020",2020
512,Bleckley County,Jo Jorgensen (Lib),20,10,37,0,67,"November 3, 2020",2020
513,Brantley County,Donald J. Trump (I) (Rep),"1,992",685,"4,307",7,"6,991","November 3, 2020",2020
514,Brantley County,Joseph R. Biden (Dem),145,204,349,1,699,"November 3, 2020",2020
515,Brantley County,Jo Jorgensen (Lib),24,11,21,0,56,"November 3, 2020",2020
516,Brooks County,Donald J. Trump (I) (Rep),"1,423",519,"2,312",6,"4,260","November 3, 2020",2020
517,Brooks County,Joseph R. Biden (Dem),522,"1,115","1,149",4,"2,790","November 3, 2020",2020
518,Brooks County,Jo Jorgensen (Lib),16,9,25,0,50,"November 3, 2020",2020
519,Bryan County,Donald J. Trump (I) (Rep),"2,579","1,588","10,072",5,"14,244","November 3, 2020",2020
520,Bryan County,Joseph R. Biden (Dem),838,"2,105","3,794",2,"6,739","November 3, 2020",2020
521,Bryan County,Jo Jorgensen (Lib),108,72,177,0,357,"November 3, 2020",2020
522,Bulloch County,Donald J. Trump (I) (Rep),"6,653","2,800","8,910",23,"18,386","November 3, 2020",2020
523,Bulloch County,Joseph R. Biden (Dem),"2,415","3,530","5,263",35,"11,243","November 3, 2020",2020
524,Bulloch County,Jo Jorgensen (Lib),192,87,175,1,455,"November 3, 2020",2020
525,Burke County,Donald J. Trump (I) (Rep),"1,949",649,"2,802",0,"5,400","November 3, 2020",2020
526,Burke County,Joseph R. Biden (Dem),"1,490","1,867","1,852",0,"5,209","November 3, 2020",2020
527,Burke County,Jo Jorgensen (Lib),25,14,36,0,75,"November 3, 2020",2020
528,Butts County,Donald J. Trump (I) (Rep),824,"1,137","6,443",2,"8,406","November 3, 2020",2020
529,Butts County,Joseph R. Biden (Dem),376,973,"1,924",1,"3,274","November 3, 2020",2020
530,Butts County,Jo Jorgensen (Lib),22,20,49,0,91,"November 3, 2020",2020
531,Calhoun County,Donald J. Trump (I) (Rep),279,150,494,0,923,"November 3, 2020",2020
532,Calhoun County,Joseph R. Biden (Dem),361,436,463,0,"1,260","November 3, 2020",2020
533,Calhoun County,Jo Jorgensen (Lib),6,3,2,0,11,"November 3, 2020",2020
534,Camden County,Donald J. Trump (I) (Rep),"3,621","2,161","9,465",4,"15,251","November 3, 2020",2020
535,Camden County,Joseph R. Biden (Dem),"1,166","2,777","4,021",3,"7,967","November 3, 2020",2020
536,Camden County,Jo Jorgensen (Lib),170,95,205,0,470,"November 3, 2020",2020
537,Candler County,Donald J. Trump (I) (Rep),431,375,"2,327",0,"3,133","November 3, 2020",2020
538,Candler County,Joseph R. Biden (Dem),193,376,699,1,"1,269","November 3, 2020",2020
539,Candler County,Jo Jorgensen (Lib),14,4,11,0,29,"November 3, 2020",2020
540,Carroll County,Donald J. Trump (I) (Rep),"11,071","4,699","21,676",30,"37,476","November 3, 2020",2020
541,Carroll County,Joseph R. Biden (Dem),"3,007","4,634","8,582",15,"16,238","November 3, 2020",2020
542,Carroll County,Jo Jorgensen (Lib),278,125,357,0,760,"November 3, 2020",2020
543,Catoosa County,Donald J. Trump (I) (Rep),"5,170","2,952","17,025",20,"25,167","November 3, 2020",2020
544,Catoosa County,Joseph R. Biden (Dem),976,"2,130","3,823",3,"6,932","November 3, 2020",2020
545,Catoosa County,Jo Jorgensen (Lib),178,78,236,2,494,"November 3, 2020",2020
546,Charlton County,Donald J. Trump (I) (Rep),"1,124",397,"1,896",2,"3,419","November 3, 2020",2020
547,Charlton County,Joseph R. Biden (Dem),233,294,576,0,"1,103","November 3, 2020",2020
548,Charlton County,Jo Jorgensen (Lib),17,7,20,0,44,"November 3, 2020",2020
549,Chatham County,Donald J. Trump (I) (Rep),"18,346","11,781","23,014",96,"53,237","November 3, 2020",2020
550,Chatham County,Joseph R. Biden (Dem),"17,952","29,037","31,085",180,"78,254","November 3, 2020",2020
551,Chatham County,Jo Jorgensen (Lib),889,506,519,15,"1,929","November 3, 2020",2020
552,Chattahoochee County,Donald J. Trump (I) (Rep),291,132,455,2,880,"November 3, 2020",2020
553,Chattahoochee County,Joseph R. Biden (Dem),150,166,350,1,667,"November 3, 2020",2020
554,Chattahoochee County,Jo Jorgensen (Lib),17,9,8,1,35,"November 3, 2020",2020
555,Chattooga County,Donald J. Trump (I) (Rep),"2,464","1,102","4,492",6,"8,064","November 3, 2020",2020
556,Chattooga County,Joseph R. Biden (Dem),366,649,837,2,"1,854","November 3, 2020",2020
557,Chattooga County,Jo Jorgensen (Lib),50,25,57,0,132,"November 3, 2020",2020
558,Cherokee County,Donald J. Trump (I) (Rep),"23,758","19,639","56,171",19,"99,587","November 3, 2020",2020
559,Cherokee County,Joseph R. Biden (Dem),"6,598","17,261","18,929",6,"42,794","November 3, 2020",2020
560,Cherokee County,Jo Jorgensen (Lib),921,628,899,1,"2,449","November 3, 2020",2020
561,Clarke County,Donald J. Trump (I) (Rep),"3,409","4,048","6,974",15,"14,446","November 3, 2020",2020
562,Clarke County,Joseph R. Biden (Dem),"5,323","14,329","16,357",39,"36,048","November 3, 2020",2020
563,Clarke County,Jo Jorgensen (Lib),268,243,325,3,839,"November 3, 2020",2020
564,Clay County,Donald J. Trump (I) (Rep),131,105,401,0,637,"November 3, 2020",2020
565,Clay County,Joseph R. Biden (Dem),165,296,329,0,790,"November 3, 2020",2020
