county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total
Chatham County,Chase Oliver (Lib),264,265,41,1,571
Chatham County,Jill Stein (Grn),217,205,21,1,444
Chattahoochee County,Donald J. Trump (Rep),562,356,63,1,982
Chattahoochee County,Kamala D. Harris (Dem),411,240,50,2,703
Chattahoochee County,Chase Oliver (Lib),4,2,0,0,6
Chattahoochee County,Jill Stein (Grn),1,2,0,0,3
Chattooga County,Donald J. Trump (Rep),"5,810","2,731",227,1,"8,769"
Chattooga County,Kamala D. Harris (Dem),"1,229",529,138,0,"1,896"
Chattooga County,Chase Oliver (Lib),11,15,2,0,28
Chattooga County,Jill Stein (Grn),2,10,1,0,13
Cherokee County,Donald J. Trump (Rep),"82,749","24,419","4,936",38,"112,142"
Cherokee County,Kamala D. Harris (Dem),"33,082","10,819","4,912",25,"48,838"
Cherokee County,Chase Oliver (Lib),478,348,43,0,869
Cherokee County,Jill Stein (Grn),212,182,38,0,432
Clarke County,Donald J. Trump (Rep),"10,897","4,302",846,4,"16,049"
Clarke County,Kamala D. Harris (Dem),"25,271","8,174","2,839",13,"36,297"
Clarke County,Chase Oliver (Lib),176,112,9,0,297
Clarke County,Jill Stein (Grn),129,94,21,0,244
Clay County,Donald J. Trump (Rep),477,155,31,0,663
Clay County,Kamala D. Harris (Dem),393,264,114,0,771
Clay County,Chase Oliver (Lib),1,5,0,0,6
Clay County,Jill Stein (Grn),2,0,0,0,2
Clayton County,Donald J. Trump (Rep),"11,419","4,710",733,15,"16,877"
Clayton County,Kamala D. Harris (Dem),"68,728","21,208","4,203",64,"94,203"
Clayton County,Chase Oliver (Lib),157,126,15,0,298
Clayton County,Jill Stein (Grn),207,119,25,0,351
Clinch County,Donald J. Trump (Rep),"1,505",649,47,0,"2,201"
Clinch County,Kamala D. Harris (Dem),421,248,33,0,702
Clinch County,Chase Oliver (Lib),0,3,0,0,3
Clinch County,Jill Stein (Grn),1,1,0,0,2
Cobb County,Donald J. Trump (Rep),"122,427","37,996","8,030",226,"168,679"
Cobb County,Kamala D. Harris (Dem),"166,260","44,783","17,004",357,"228,404"
Cobb County,Chase Oliver (Lib),"1,256",943,133,3,"2,335"
Cobb County,Jill Stein (Grn),"1,061",792,95,3,"1,951"
Coffee County,Donald J. Trump (Rep),"8,112","3,038",220,18,"11,388"
Coffee County,Kamala D. Harris (Dem),"2,664","1,415",208,8,"4,295"
Coffee County,Chase Oliver (Lib),10,11,1,0,22
Coffee County,Jill Stein (Grn),2,6,2,0,10
Colquitt County,Donald J. Trump (Rep),"7,713","4,390",342,6,"12,451"
Colquitt County,Kamala D. Harris (Dem),"2,426","1,395",289,4,"4,114"
Colquitt County,Chase Oliver (Lib),14,17,0,0,31
Colquitt County,Jill Stein (Grn),12,3,0,0,15
Columbia County,Donald J. Trump (Rep),"38,439","13,211","1,969",38,"53,657"
Columbia County,Kamala D. Harris (Dem),"21,165","7,563","2,869",27,"31,624"
Columbia County,Chase Oliver (Lib),174,140,24,0,338
Columbia County,Jill Stein (Grn),160,119,21,1,301
Cook County,Donald J. Trump (Rep),"3,948","1,272",154,0,"5,374"
Cook County,Kamala D. Harris (Dem),"1,143",692,121,0,"1,956"
Cook County,Chase Oliver (Lib),11,6,1,0,18
Cook County,Jill Stein (Grn),4,3,2,0,9
Coweta County,Donald J. Trump (Rep),"41,794","13,016","2,380",14,"57,204"
Coweta County,Kamala D. Harris (Dem),"19,256","6,309","2,540",6,"28,111"
Coweta County,Chase Oliver (Lib),218,176,21,0,415
Coweta County,Jill Stein (Grn),113,53,20,0,186
Crawford County,Donald J. Trump (Rep),"3,232","1,375",131,4,"4,742"
Crawford County,Kamala D. Harris (Dem),"1,109",352,117,4,"1,582"
Crawford County,Chase Oliver (Lib),4,7,0,0,11
Crawford County,Jill Stein (Grn),0,5,0,0,5
Crisp County,Donald J. Trump (Rep),"3,770","1,112",216,1,"5,099"
Crisp County,Kamala D. Harris (Dem),"1,964",827,202,0,"2,993"
Crisp County,Chase Oliver (Lib),10,7,0,0,17
Crisp County,Jill Stein (Grn),2,3,2,0,7
Dade County,Donald J. Trump (Rep),"4,439","2,214",141,10,"6,804"
Dade County,Kamala D. Harris (Dem),869,371,102,1,"1,343"
Dade County,Chase Oliver (Lib),18,16,1,0,35
Dade County,Jill Stein (Grn),6,11,1,0,18
Dawson County,Donald J. Trump (Rep),"13,218","2,345",550,2,"16,115"
