county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total
Taliaferro County,Jo Jorgensen (Lib),4,1,2,0,7
Tattnall County,Donald J. Trump (I) (Rep),"1,536",818,"3,699",0,"6,053"
Tattnall County,Joseph R. Biden (Dem),412,546,"1,103",0,"2,061"
Tattnall County,Jo Jorgensen (Lib),34,10,25,0,69
Taylor County,Donald J. Trump (I) (Rep),349,292,"1,764",13,"2,418"
Taylor County,Joseph R. Biden (Dem),272,489,624,2,"1,387"
Taylor County,Jo Jorgensen (Lib),13,3,18,0,34
Telfair County,Donald J. Trump (I) (Rep),958,358,"1,506",3,"2,825"
Telfair County,Joseph R. Biden (Dem),317,618,545,7,"1,487"
Telfair County,Jo Jorgensen (Lib),10,2,9,0,21
Terrell County,Donald J. Trump (I) (Rep),665,270,"1,069",0,"2,004"
Terrell County,Joseph R. Biden (Dem),567,839,969,1,"2,376"
Terrell County,Jo Jorgensen (Lib),15,12,9,0,36
Thomas County,Donald J. Trump (I) (Rep),"2,718","1,670","8,565",1,"12,954"
Thomas County,Joseph R. Biden (Dem),"1,473","2,412","4,819",4,"8,708"
Thomas County,Jo Jorgensen (Lib),65,35,91,0,191
Tift County,Donald J. Trump (I) (Rep),"2,721","1,221","6,833",9,"10,784"
Tift County,Joseph R. Biden (Dem),"1,110","1,464","2,732",16,"5,322"
Tift County,Jo Jorgensen (Lib),54,33,88,2,177
Toombs County,Donald J. Trump (I) (Rep),"1,797","1,217","4,852",6,"7,872"
Toombs County,Joseph R. Biden (Dem),569,"1,078","1,288",4,"2,939"
Toombs County,Jo Jorgensen (Lib),49,16,38,0,103
Towns County,Donald J. Trump (I) (Rep),984,"1,227","4,165",8,"6,384"
Towns County,Joseph R. Biden (Dem),118,711,720,1,"1,550"
Towns County,Jo Jorgensen (Lib),17,10,18,0,45
Treutlen County,Donald J. Trump (I) (Rep),418,274,"1,409",0,"2,101"
Treutlen County,Joseph R. Biden (Dem),123,303,526,0,952
Treutlen County,Jo Jorgensen (Lib),10,4,10,0,24
Troup County,Donald J. Trump (I) (Rep),"4,673","2,905","10,519",46,"18,143"
Troup County,Joseph R. Biden (Dem),"2,809","3,459","5,276",34,"11,578"
Troup County,Jo Jorgensen (Lib),139,60,129,0,328
